image_path,mask_path,target_presence,source_type,label,sample_group,filename,split
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550374-2 10х.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550374_2_10х_c9a0ffbe.png,1,manual_positive,talc,2550374_2_10х_c9a0ffbe,2550374-2 10х.JPG,test
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550375-1 10х.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550375_1_10х_050d9a27.png,1,manual_positive,talc,2550375_1_10х_050d9a27,2550375-1 10х.JPG,train
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550375-3 5х.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550375_3_5х_5e120071.png,1,manual_positive,talc,2550375_3_5х_5e120071,2550375-3 5х.JPG,train
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550376-1 5x.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550376_1_5x_2fcf85c1.png,1,manual_positive,talc,2550376_1_5x_2fcf85c1,2550376-1 5x.JPG,test
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550376-2 10x.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550376_2_10x_eb9f7e9c.png,1,manual_positive,talc,2550376_2_10x_eb9f7e9c,2550376-2 10x.JPG,train
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550377-1 5x.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550377_1_5x_d3554d28.png,1,manual_positive,talc,2550377_1_5x_d3554d28,2550377-1 5x.JPG,validation
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550378-1 5x.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550378_1_5x_072189f2.png,1,manual_positive,talc,2550378_1_5x_072189f2,2550378-1 5x.JPG,train
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550381-1 10x.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550381_1_10x_9c9fd815.png,1,manual_positive,talc,2550381_1_10x_9c9fd815,2550381-1 10x.JPG,train
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550381-2 10x.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550381_2_10x_a197f5f4.png,1,manual_positive,talc,2550381_2_10x_a197f5f4,2550381-2 10x.JPG,train
C:\Users\Мария\ore_hackathon\data\raw\Фото руд по сортам. ч1\Оталькованные руды\2550382-1 10x.JPG,C:\Users\Мария\ore_hackathon\data\manual_talc\annotations\annotator\masks\2550382_1_10x_ce423d73.png,1,manual_positive,talc,2550382_1_10x_ce423d73,2550382-1 10x.JPG,test
